Feature,Normalized.Dispersion
LOC105335912,nan
LOC105335931,-0.6375317951490468
LOC105335914,0.6882236568552115
LOC105348645,1.7612084697505044
LOC117683566,nan
LOC117683687,5.8877009748667755
LOC117683639,nan
LOC117683649,4.492047810069666
LOC105337358,3.2490955296984096
LOC117683688,-0.047630403883128905
LOC117683616,nan
LOC105337393,nan
LOC109619877,-1.2444157162230605
LOC117683699,-1.7688105093007231
LOC117683678,-0.41684565638270715
LOC105337365,-0.6880951341207935
LOC105327195,3.925680605474179
LOC105326744,nan
LOC117680455,1.0258681388364317
LOC105337361,-0.4942988857805968
LOC105337360,-1.0854420401818377
LOC117683736,nan
LOC117683607,nan
LOC117683600,6.1354259322686575
LOC105337362,-0.5324063051098129
LOC117683663,5.4381601422892025
LOC117680428,0.016320832549249015
LOC105337368,-0.14268326376794965
LOC105337367,-0.010927470292009536
LOC105337369,-0.23906497628894363
LOC105342725,-1.0420263741049693
LOC105337370,-0.4136301264376618
LOC105337371,-1.1160144570853638
LOC105337373,1.241402090647175
LOC105337374,5.843526258492023
LOC105337394,1.048725043115467
LOC105337375,0.26270776888112296
LOC105337376,-0.14333712487842015
LOC105337377,11.821230898425513
LOC105337379,2.9546450772448503
LOC105324274,5.669593015934453
LOC105331846,7.1200821823268265
LOC105331845,0.2168637828837179
LOC105331844,5.187092501190569
LOC105323503,-2.189865167029466
LOC105331842,0.2975600140336861
LOC105331841,-0.26415994505873847
LOC105331840,-0.30656975874564785
LOC105331839,1.8653395038676264
LOC105331837,0.11771990075474693
LOC105331854,0.6554803010963648
LOC117687154,-0.5993778111557203
LOC105341168,nan
LOC117682707,nan
LOC105338364,0.25854236298778294
LOC105338363,nan
LOC105338361,-0.9498933156477998
LOC105338360,1.9433669587431075
LOC105338369,-0.9819155551665534
LOC105338359,1.0856605357946567
LOC105338358,0.6718826740517465
LOC105338357,2.4738746624503953
LOC105338356,-0.05218521071664658
LOC105338354,-1.8067469337460946
LOC105338355,-0.3422039551400662
LOC105338353,-0.2581443133530447
LOC117682784,-0.6949405340238556
LOC105326415,0.43998652868950083
LOC105326414,1.7545483287882193
LOC105326417,2.86825942438743
LOC105326416,0.33271658006398336
LOC109617077,1.621817413805691
LOC105326418,-0.33784923143572204
LOC117682815,-0.7243066747000901
LOC105326419,-0.7874968011696486
LOC105326420,3.6491357022159816
LOC105326424,-0.4400698443922213
LOC105326423,-0.9668650545155199
LOC105326426,-0.5897664217813599
LOC105326427,1.0056904818849055
LOC105326456,3.5806947098717727
LOC105326429,-2.3826157984438687
LOC105326430,-1.5425809907819885
LOC105326431,1.247491176438312
LOC105326432,-0.7326172293721521
LOC105326457,0.9132935595447471
LOC105326433,6.116353398523618
LOC105326435,-0.8928095379295052
LOC105326436,2.7315771632998365
LOC105326437,0.6090586354225397
LOC105326439,5.919156919791918
LOC105326440,1.969803646031701
LOC105320483,-0.6084377119049718
LOC105340021,16.283696845982263
LOC105340020,nan
LOC105340019,1.3202430986586724
LOC117691994,-1.1901038724007174
LOC105340018,6.717733565460788
LOC117692288,-0.4364693338254992
LOC105347995,1.3507049486394296
LOC117683895,1.3308389557071028
LOC105331616,3.196559291417382
LOC117680311,-0.8717565233852687
LOC105323257,11.416301562710942
LOC105323256,nan
LOC105323255,-1.0425818444174155
LOC105323254,-1.2408075281462274
LOC105323253,2.0020649519266303
LOC109618019,-0.4587882618309158
LOC105323251,-0.604555748474775
LOC105323250,0.5534304123647144
LOC117680481,1.5582724354971595
LOC105323249,-0.7243934874847615
LOC105323248,-1.5579331233457887
LOC105323247,-0.04120336006293472
LOC105323246,-0.34149537266265734
LOC109618020,0.2444814037543588
LOC105323245,-1.5875772313141272
LOC105323244,4.155492604721358
LOC109619489,0.05014409715268043
LOC105323243,1.4235747163301384
LOC105323242,-1.0127733360278854
LOC105323241,-0.4795606863523586
LOC105323240,nan
LOC105323239,2.200281880394992
LOC117682288,-0.21583817840091782
LOC105323290,-0.19580149067980432
LOC105323235,0.26437434458690673
LOC105323233,-0.18673341759085785
LOC105323234,0.17808164028262535
LOC105323232,-1.3167336912599965
LOC105323229,0.446973107893376
LOC117682364,8.693748557421488
LOC105323227,2.817599853728955
LOC105323226,11.82575970558422
LOC105323225,-1.4631561863602396
LOC105323223,-1.1098986878406927
LOC117682405,-1.9595130950350508
LOC105323221,4.6504055866652285
LOC105323220,-0.13559796198410917
LOC105323219,-0.6347030630005673
LOC105323217,1.5273349717127322
LOC105323216,-0.29630281367418354
LOC105323215,-1.2071206095955234
LOC117682470,nan
LOC117682472,1.4665798484796315
LOC117682469,-1.4814804247170292
LOC105323214,-0.727797230333879
LOC105323213,0.30692807973959724
LOC105323212,nan
LOC105335743,0.801031930332958
LOC117684829,nan
LOC117687183,9.072123580926618
LOC109620475,-0.025829170358262796
LOC105342485,-1.5950468817865742
LOC105345080,2.6807748606050374
LOC105342484,-1.5890812867616817
LOC105342483,nan
LOC105342481,nan
LOC117684855,4.331832473524681
LOC117684858,-0.4700246069501332
LOC105322226,5.4412992467933154
LOC105345571,nan
LOC105319020,-1.329806906051353
LOC117680370,-1.2563276213142136
LOC105319012,-2.569946833662148
LOC105319272,-2.489716530566569
LOC105319006,-2.3501552568919224
